canal,tiempo_o_bache,productos_disponibles,producto_comprado
DIA 1,,,
ONLINE,08:00,1;2;3;4,2
ONLINE,08:00,1;2;3;4,4
ONLINE,08:00,1;2;3;4,4
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,2
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,2
ONLINE,08:00,1;2;3;4,4
ONLINE,08:00,1;2;3;4,4
ONLINE,08:00,1;2;3;4,3
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,3
ONLINE,08:00,1;2;3;4,4
ONLINE,08:00,1;2;3;4,2
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,4
ONLINE,08:00,1;2;3;4,4
ONLINE,08:00,1;2;3;4,3
ONLINE,08:00,1;2;3;4,2
ONLINE,08:00,1;2;3;4,4
ONLINE,08:00,1;2;3;4,2
ONLINE,08:00,1;2;3;4,3
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,2
ONLINE,08:00,1;2;3;4,3
ONLINE,08:00,1;2;3;4,4
ONLINE,08:00,1;2;3;4,3
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,3
ONLINE,08:00,1;2;3;4,3
ONLINE,08:00,1;2;3;4,3
ONLINE,08:00,1;2;3;4,4
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,4
ONLINE,08:00,1;2;3;4,3
ONLINE,08:00,1;2;3;4,2
PRESENCIAL,481.3995393608814,0;1;2;3;4,1
PRESENCIAL,484.7923344352212,0;1;2;3;4,1
PRESENCIAL,485.6940063376675,0;1;2;3;4,2
PRESENCIAL,488.43223504463344,0;1;2;3;4,1
PRESENCIAL,489.03219514908284,0;1;2;3;4,1
PRESENCIAL,507.6028212913894,0;1;2;3;4,3
PRESENCIAL,514.0178400518586,0;1;2;3;4,3
PRESENCIAL,514.1173638533954,0;1;2;3;4,4
PRESENCIAL,515.7552800820487,0;1;2;3;4,1
PRESENCIAL,517.2242141025603,0;1;2;3;4,1
PRESENCIAL,519.635007868461,0;1;2;3;4,4
PRESENCIAL,521.5608596921439,0;1;2;3;4,3
PRESENCIAL,532.0291234546324,0;1;2;3;4,3
PRESENCIAL,544.1576840041604,0;1;2;3;4,3
PRESENCIAL,551.1248100341156,0;1;2;3;4,2
PRESENCIAL,553.1541453425474,0;1;2;3;4,3
PRESENCIAL,554.3237238591037,0;1;2;3;4,1
PRESENCIAL,555.5701696151883,0;1;2;3;4,2
PRESENCIAL,557.0277060379666,0;1;2;3;4,1
PRESENCIAL,558.2645969554251,0;1;2;3;4,1
PRESENCIAL,566.7390264162351,0;1;2;3;4,3
PRESENCIAL,567.154020520256,0;1;2;3;4,3
PRESENCIAL,574.1188140175555,0;1;2;3;4,2
PRESENCIAL,581.1930069154117,0;1;2;3;4,1
PRESENCIAL,603.4587601517392,0;1;2;3;4,2
PRESENCIAL,611.4244306566072,0;1;2;3;4,1
PRESENCIAL,633.1286558987345,0;1;2;3;4,3
PRESENCIAL,639.3676226050667,0;1;2;3;4,2
PRESENCIAL,641.4365974665391,0;1;2;3;4,2
PRESENCIAL,643.8367042838017,0;1;2;3;4,2
PRESENCIAL,651.647042199847,0;1;2;3;4,1
